cod_munic,ano,cod_uf,nome_uf,pib,state.x,popdens,poprural,prefeito,govpt,poptot.y,ruralpc,hdi.2010.100,hdi.2000.100,pref.pt,organ,op,esq
2602902,2009,26,Pernambuco,3826487.34,15,405.1834602,17368.7,PTB,0,181820,0.0955269,6.86,7.07,0,199,1,0.246727748691099
2603454,2005,26,Pernambuco,422463.77,15,2664.689701,0,PC do B,0,136584,0,6.92,7.47,0,78,0,0.116316639741519
2603454,2009,26,Pernambuco,618538.09,15,2787.7168,0,PC do B,0,142890,0,6.92,7.47,0,98,0,0.123721881390593
2604106,2005,26,Pernambuco,1514123.33,15,308.7873162,35780,PFL,0,284273,0.1258649,6.77,7.13,0,170,0,0.384879725085911
2606002,2005,26,Pernambuco,565057.45,15,269.4983339,14184,PMDB,0,123579,0.1147768,6.64,6.93,0,163,0,0.439024390243902
2606002,2009,26,Pernambuco,949338.96,15,279.6673005,14080,PDT,0,128242,0.1097924,6.64,6.93,0,158,0,0.333333333333333
2607901,2005,26,Pernambuco,4221244.58,15,2369.935136,13567.5,PSDC,0,613088,0.02212978,7.17,7.77,0,232,1,0.289782244556114
2607901,2009,26,Pernambuco,7068777.3,15,2467.448027,13955.9,PSDB,0,638314,0.02186369,7.17,7.77,0,372,0,0.695620437956204
2609600,2005,26,Pernambuco,1886466.95,15,8945.106883,7395,PC do B,0,372841,0.01983419,7.35,7.92,0,260,1,0.454044117647059
2609600,2009,26,Pernambuco,2601107.53,15,9039.874283,7432.6,PC do B,0,376791,0.01972605,7.35,7.92,0,279,1,0.447859495060373
2610707,2005,26,Pernambuco,1081933.16,15,2891.236435,0,PPS,0,281352,0,7.32,7.99,0,122,1,0.226530612244898
2610707,2009,26,Pernambuco,1839665.79,15,3048.370191,0,PSB,0,296643,0,7.32,7.99,0,144,0,0.686124401913876
2611101,2005,26,Pernambuco,1670472.97,15,56.17211531,63507,PPS,0,256250,0.2478322,6.97,7.47,0,158,0,0.584664536741214
2611101,2009,26,Pernambuco,2283346.36,15,62.78562836,72505.4,PMDB,0,286420,0.2531436,6.97,7.47,0,189,0,0.714782608695652
2611606,2005,26,Pernambuco,16324072.73,15,6776.86726,0,PT,0,1480305,0,7.72,7.97,1,1779,1,0.267373013399813
2611606,2009,26,Pernambuco,24835339.75,15,6987.085403,0,PT,0,1526224,0,7.72,7.97,1,1860,1,0.37748620222847
2616407,2005,26,Pernambuco,615931.71,15,368.4921802,17406.5,PSB,0,123792,0.1406109,6.4,6.63,0,67,0,0.317307692307692
2616407,2009,26,Pernambuco,1023204.55,15,383.2149597,16718.1,DEM,0,128738,0.1298614,6.4,6.63,0,105,0,0.752910737386805
2700300,2005,27,Alagoas,896794.39,2,579.2943831,33320.5,PMDB,0,200236,0.1664061,6.49,6.56,0,140,0,0.610526315789474
2700300,2009,27,Alagoas,1658976.9,2,611.1643112,32687.3,PMDB,0,211252,0.1547313,6.49,6.56,0,126,0,0.581395348837209
2704302,2005,27,Alagoas,6319445.33,2,1698.068107,1304,PDT,0,865254,0.001507072,7.21,7.39,0,717,0,0.492329149232915
2704302,2009,27,Alagoas,10264217.82,2,1804.033739,783.2,PP,0,919249,0.000852,7.21,7.39,0,1012,0,0.647058823529412
2800308,2005,28,Sergipe,5197567.57,24,2839.274815,0,PT,0,516342,0,7.7,7.94,1,752,1,0.495049504950495
2800308,2009,28,Sergipe,7069447.84,24,3080.37634,0,PC do B,1,560188,0,7.7,7.94,0,824,1,0.63302752293578
2804805,2005,28,Sergipe,730241.9,24,943.4581791,2701,PPS,0,146253,0.018468,6.64,6.96,0,73,0,0.238709677419355
2900702,2005,29,Bahia,838254.78,5,189.4224663,17784.5,PSB,0,136022,0.1307472,6.83,7.29,0,186,1,0.148514851485149
2900702,2009,29,Bahia,1298216.41,5,196.0261138,17888.1,PSDB,1,140764,0.1270787,6.83,7.29,0,267,1,0.567375886524823
2903201,2005,29,Bahia,1236359.89,5,17.86087625,14876.5,PSDB,0,134638,0.1104926,7.21,7.23,0,108,0,0.5
2903201,2009,29,Bahia,1693253.61,5,18.15683738,13925.7,PR,1,136869,0.1017447,7.21,7.23,0,110,0,0.280575539568345
2905701,2005,29,Bahia,10271513.93,5,257.8817778,9166,PT,0,202349,0.04529798,6.94,7.34,1,207,1,0.012875536480687
2905701,2009,29,Bahia,12158915.1,5,299.2972735,10638.8,PT,1,234846,0.04530118,6.94,7.34,1,213,1,0.350478468899522
2910800,2005,29,Bahia,3492978.09,5,387.7419389,47626.5,PFL,0,518796,0.09180198,7.12,7.4,0,517,0,0.457142857142857
2910800,2009,29,Bahia,6358135.7,5,410.3706073,46352.5,DEM,1,549073,0.08441956,7.12,7.4,0,617,0,0.407068062827225
2913606,2005,29,Bahia,1479938.17,5,128.2153704,44482,PMDB,0,203182,0.2189269,6.9,7.03,0,168,1,0.689873417721519
2913606,2009,29,Bahia,1925639.85,5,118.6507418,32066,PSB,1,188025,0.1705412,6.9,7.03,0,177,0,0.608695652173913
2914802,2005,29,Bahia,1514013.82,5,500.3914939,5252.5,PFL,0,200671,0.02617468,7.12,7.48,0,194,1,0.517902813299233
2914802,2009,29,Bahia,2280732.73,5,508.3635058,5061.7,DEM,1,203868,0.02482832,7.12,7.48,0,217,0,0.682890855457227
2918001,2005,29,Bahia,1055577.98,5,50.36958149,14688.5,PP,0,149549,0.09821864,6.65,6.94,0,169,0,0.2734375
2918001,2009,29,Bahia,1552451.45,5,51.00177364,12914.5,PMDB,1,151426,0.08528588,6.65,6.94,0,171,0,0.57089552238806
2918407,2005,29,Bahia,1136053.29,5,28.65326163,39243.5,PFL,0,186266,0.2106853,6.77,6.83,0,239,0,0.330434782608696
2918407,2009,29,Bahia,1745979.64,5,30.09295473,37607.1,PC do B,1,195625,0.1922408,6.77,6.83,0,229,0,0.442244224422442
2919207,2005,29,Bahia,1694310.37,5,2401.85911,0,PT,0,138496,0,7.54,7.71,1,94,1,0.247191011235955
2919207,2009,29,Bahia,2672093.5,5,2748.048975,0,PT,1,158458,0,7.54,7.71,1,116,1,0.260355029585799
2924009,2005,29,Bahia,1249034,5,64.85187593,14453,PSB,0,102448,0.1410764,6.74,7.19,0,125,1,0.727272727272727
2924009,2009,29,Bahia,1743769.82,5,67.86379637,14883.4,DEM,1,107206,0.1388299,6.74,7.19,0,114,0,0.690566037735849
2925303,2005,29,Bahia,556831.05,5,48.67549741,19474.5,PL,0,111325,0.1749337,6.76,6.99,0,84,0,0.22680412371134
2925303,2009,29,Bahia,805236.41,5,54.13353679,22172.5,PSB,1,123808,0.1790878,6.76,6.99,0,134,0,0.560975609756098
2927408,2005,29,Bahia,22532508.7,5,3694.156771,904,PDT,0,2559382,0.00035321,7.59,8.05,0,2346,1,0.230211081794195
2927408,2009,29,Bahia,32824228.58,5,3828.418389,823.2,PMDB,1,2652401,0.00031036,7.59,8.05,0,2390,0,0.557073954983923
2930709,2005,29,Bahia,2082070.32,5,526.1364,14701,PL,0,106057,0.1386141,6.75,7.3,0,132,1,0.356589147286822
2930709,2009,29,Bahia,3008293.6,5,573.7212,12733,PSDB,1,115649,0.1101004,6.75,7.3,0,136,0,0.769230769230769
2931350,2005,29,Bahia,617967.87,5,105.4493,8936.5,PSDC,0,122914,0.07270531,6.85,6.98,0,90,1,0.370212765957447
2931350,2009,29,Bahia,1051444.31,5,116.0376,9047.3,PSDB,1,135256,0.0668902,6.85,6.98,0,91,0,0.354166666666667
2933307,2005,29,Bahia,1796270.15,5,76.85708,34539,PT,0,284680,0.1213257,6.78,7.08,1,291,1,0.48469387755102
2933307,2009,29,Bahia,3142676.82,5,81.6489,32611,PT,1,302429,0.1078303,6.78,7.08,1,412,1,0.112871287128713
3103504,2005,31,Minas Gerais,1540195.61,10,38.7938,8220,PSC,0,105888,0.07762919,7.73,8.15,0,174,0,0.470588235294118
3105608,2005,31,Minas Gerais,993916.06,10,158.3341,10589.5,PSDB,0,120205,0.08809534,7.69,7.98,0,231,0,0.303370786516854
3105608,2009,31,Minas Gerais,1335419.62,10,164.7396,10695.5,PMDB,0,125068,0.08551748,7.69,7.98,0,252,1,0.296052631578947
3106200,2005,31,Minas Gerais,28951081.26,10,6960869,0,PT,0,2306839,0,8.1,8.39,1,3847,1,0.403065825067629
3106200,2009,31,Minas Gerais,44595204.91,10,7125775,0,PSB,0,2361489,0,8.1,8.39,0,4400,1,0.1828447861605
3106705,2005,31,Minas Gerais,14656666.53,10,995.7133,5588.5,PSDB,0,342382,0.01632241,7.49,7.75,0,341,0,0.507394766780432
3106705,2009,31,Minas Gerais,25183730.33,10,1078789,3325.7,PT,0,370948,0.008965407,7.49,7.75,1,532,1,0.599674532139951
3118304,2005,31,Minas Gerais,618245.17,10,296.2193,4282,PT,0,109674,0.03904298,7.61,7.93,1,165,1,0.049180327868853
3118304,2009,31,Minas Gerais,896665.27,10,310.9932,5050.8,PSDB,0,115144,0.04386507,7.61,7.93,0,152,0,0.186046511627907
3118601,2005,31,Minas Gerais,9791840.95,10,2926145,3369.5,PT,0,570730,0.005903842,7.56,7.89,1,615,1,0.17762399077278
3118601,2009,31,Minas Gerais,15410450.4,10,3060319,2315.5,PT,0,596900,0.003879209,7.56,7.89,1,758,1,0.171264367816092
3119401,2005,31,Minas Gerais,467014.03,10,454.5631,1246,PT,0,100573,0.01238901,7.55,7.89,1,149,1,0.25181598062954
3119401,2009,31,Minas Gerais,724103.78,10,465.8489,1286,PT,0,103070,0.01247696,7.55,7.89,1,141,0,0.102222222222222
3122306,2005,31,Minas Gerais,2174946.92,10,280.3062,5742.5,PTB,0,198489,0.02893107,7.64,8.31,0,321,0,0.109195402298851
